main_post,duplicate_post,tier,similarity,same_pillar,reason,differentiator,recommended_role_split
2026-07-30-food-16,2026-08-01-food-auto-174113,LOW,0.52,아니오,같은 세부 클러스터(food-waste) / 공통 표현: 혼밥 식재료,검색의도 다름: 2026-07-30-food-16=문제해결형 / 2026-08-01-food-auto-174113=질문형,"2026-07-30-food-16=주요 관점 유지, 2026-08-01-food-auto-174113=1인 가구 식재료 중심으로 검색의도 분리 검토"
2026-07-30-food-16,2026-08-01-food-auto-6b8a79,LOW,0.5,아니오,같은 세부 클러스터(food-waste) / 공통 표현: 1인 가구 살림,검색의도 다름: 2026-07-30-food-16=문제해결형 / 2026-08-01-food-auto-6b8a79=판단형,"2026-07-30-food-16=주요 관점 유지, 2026-08-01-food-auto-6b8a79=1인 가구 식재료 중심으로 검색의도 분리 검토"
2026-07-30-food-16,2026-08-06-food-auto-75ad3e,LOW,0.5,아니오,같은 세부 클러스터(food-waste) / 공통 표현: 1인 가구 살림,검색의도 다름: 2026-07-30-food-16=문제해결형 / 2026-08-06-food-auto-75ad3e=질문형,"2026-07-30-food-16=주요 관점 유지, 2026-08-06-food-auto-75ad3e=1인 가구 냉동실 중심으로 검색의도 분리 검토"
2026-07-30-food-16,2026-08-07-food-auto-bb56bf,LOW,0.52,아니오,같은 세부 클러스터(food-waste) / 공통 표현: 1인 가구 살림,검색의도 다름: 2026-07-30-food-16=문제해결형 / 2026-08-07-food-auto-bb56bf=판단형,"2026-07-30-food-16=주요 관점 유지, 2026-08-07-food-auto-bb56bf=1인 가구 식재료 중심으로 검색의도 분리 검토"
2026-08-01-food-auto-2c9171,2026-08-01-food-auto-0f5d02,LOW,0.51,아니오,"같은 세부 클러스터(grocery-shopping) / 공통 표현: 1인 가구 장보기, 장보기",검색의도 다름: 2026-08-01-food-auto-2c9171=질문형 / 2026-08-01-food-auto-0f5d02=비교형,"2026-08-01-food-auto-2c9171=주요 관점 유지, 2026-08-01-food-auto-0f5d02=온라인 장보기 중심으로 검색의도 분리 검토"
2026-08-01-food-auto-0f5d02,2026-08-04-food-auto-c6481a,LOW,0.52,아니오,"같은 세부 클러스터(grocery-shopping) / 공통 표현: 장보기, 돈 절약","2026-08-01-food-auto-0f5d02 고유 키워드: 1인 가구 장보기, 온라인 장보기, 오프라인 마트 장점 / 2026-08-04-food-auto-c6481a 고유 키워드: 1인 가구 식재료, 식재료 구독 서비스, 개별 구매","2026-08-01-food-auto-0f5d02=주요 관점 유지, 2026-08-04-food-auto-c6481a=1인 가구 식재료 중심으로 검색의도 분리 검토"
2026-08-01-food-auto-0f5d02,2026-08-06-food-auto-ef165d,LOW,0.53,아니오,"같은 세부 클러스터(grocery-shopping) / 공통 표현: 1인 가구 장보기, 장보기","2026-08-01-food-auto-0f5d02 고유 키워드: 온라인 장보기, 오프라인 마트 장점, 온라인 장보기 장점 / 2026-08-06-food-auto-ef165d 고유 키워드: 신선 채소 구매, 온라인 새벽배송, 동네마트","2026-08-01-food-auto-0f5d02=주요 관점 유지, 2026-08-06-food-auto-ef165d=신선 채소 구매 중심으로 검색의도 분리 검토"
2026-08-06-food-auto-19b20f,2026-08-01-food-auto-6b8a79,LOW,0.5,아니오,같은 세부 클러스터(food-waste) / 공통 표현: 식재료 구매,검색의도 다름: 2026-08-06-food-auto-19b20f=문제해결형 / 2026-08-01-food-auto-6b8a79=판단형,"2026-08-06-food-auto-19b20f=주요 관점 유지, 2026-08-01-food-auto-6b8a79=1인 가구 식재료 중심으로 검색의도 분리 검토"
2026-08-01-food-auto-6b8a79,2026-08-07-food-auto-bb56bf,LOW,0.51,아니오,같은 세부 클러스터(food-waste) / 공통 표현: 1인 가구 살림,"2026-08-01-food-auto-6b8a79 고유 키워드: 혼자 살 때 마트, 식재료 선택 기준, 장보기 노하우 / 2026-08-07-food-auto-bb56bf 고유 키워드: 애매한 식재료, 유통기한, 섭취기한","2026-08-01-food-auto-6b8a79=주요 관점 유지, 2026-08-07-food-auto-bb56bf=애매한 식재료 중심으로 검색의도 분리 검토"
2026-08-01-food-auto-976f1b,2026-08-06-food-auto-b02493,LOW,0.5,아니오,같은 세부 클러스터(freeze-portion) / 공통 표현: 대용량 식재료,검색의도 다름: 2026-08-01-food-auto-976f1b=질문형 / 2026-08-06-food-auto-b02493=비교형,"2026-08-01-food-auto-976f1b=주요 관점 유지, 2026-08-06-food-auto-b02493=소량 팩 중심으로 검색의도 분리 검토"
2026-08-04-food-auto-c6481a,2026-08-06-food-auto-ef165d,LOW,0.5,아니오,같은 세부 클러스터(grocery-shopping) / 공통 표현: 장보기,"2026-08-04-food-auto-c6481a 고유 키워드: 1인 가구 식재료, 식재료 구독 서비스, 개별 구매 / 2026-08-06-food-auto-ef165d 고유 키워드: 1인 가구 장보기, 신선 채소 구매, 온라인 새벽배송","2026-08-04-food-auto-c6481a=주요 관점 유지, 2026-08-06-food-auto-ef165d=1인 가구 장보기 중심으로 검색의도 분리 검토"
2026-08-06-food-auto-75ad3e,2026-08-07-food-auto-bb56bf,LOW,0.51,아니오,같은 세부 클러스터(food-waste) / 공통 표현: 1인 가구 살림,검색의도 다름: 2026-08-06-food-auto-75ad3e=질문형 / 2026-08-07-food-auto-bb56bf=판단형,"2026-08-06-food-auto-75ad3e=주요 관점 유지, 2026-08-07-food-auto-bb56bf=1인 가구 식재료 중심으로 검색의도 분리 검토"
2026-07-31-cleaning-74,2026-08-06-cleaning-auto-eb5789,LOW,0.54,예,"같은 세부 클러스터(laundry-clothing) / 공통 표현: 세탁기 냄새, 세탁기 청소",검색의도 다름: 2026-07-31-cleaning-74=질문형 / 2026-08-06-cleaning-auto-eb5789=방법형,"2026-07-31-cleaning-74=주요 관점 유지, 2026-08-06-cleaning-auto-eb5789=세탁기 청소 주기 중심으로 검색의도 분리 검토"
2026-07-31-cleaning-74,2026-08-08-cleaning-auto-e6a45e,LOW,0.54,예,"같은 세부 클러스터(laundry-clothing) / 공통 표현: 세탁기 냄새, 세탁기 청소","2026-07-31-cleaning-74 고유 키워드: 세탁기 청소, 곰팡이 냄새, 빨래 쉰 냄새 / 2026-08-08-cleaning-auto-e6a45e 고유 키워드: 세탁기 곰팡이, 고무패킹 청소, 세제 투입구 청소","2026-07-31-cleaning-74=주요 관점 유지, 2026-08-08-cleaning-auto-e6a45e=세탁기 곰팡이 중심으로 검색의도 분리 검토"
2026-08-06-cleaning-auto-858326,2026-07-31-cleaning-79,LOW,0.5,아니오,같은 세부 클러스터(cleaning-tools-time) / 공통 표현: 효율적인 청소,"2026-08-06-cleaning-auto-858326 고유 키워드: 청소포, 극세사 걸레, 청소 용품 비교 / 2026-07-31-cleaning-79 고유 키워드: 정기 청소서비스 비용, 직접 청소 방법, 청소 시간 절약","2026-08-06-cleaning-auto-858326=주요 관점 유지, 2026-07-31-cleaning-79=정기 청소서비스 비용 중심으로 검색의도 분리 검토"
2026-08-01-cleaning-auto-dd0fd9,2026-08-11-cleaning-auto-1ad691,LOW,0.54,아니오,"같은 세부 클러스터(bathroom-cleaning) / 공통 표현: 샤워기 물때, 샤워기 헤드 청소","2026-08-01-cleaning-auto-dd0fd9 고유 키워드: 혼자 사는 청소, 샤워기 곰팡이, 샤워기 수압 / 2026-08-11-cleaning-auto-1ad691 고유 키워드: 샤워기 헤드 청소, 샤워기 세균, 피부 가려움","2026-08-01-cleaning-auto-dd0fd9=주요 관점 유지, 2026-08-11-cleaning-auto-1ad691=샤워기 헤드 청소 중심으로 검색의도 분리 검토"
2026-08-06-cleaning-auto-ec8541,2026-08-03-cleaning-auto-fd154a,LOW,0.5,아니오,같은 세부 클러스터(kitchen-cleaning) / 공통 표현: 1인 가구 주방,"2026-08-06-cleaning-auto-ec8541 고유 키워드: 주방 후드 청소, 레인지 후드 청소, 기름때 제거 / 2026-08-03-cleaning-auto-fd154a 고유 키워드: 전자레인지 냄새 제거, 전자레인지 찌든 때, 자취방 청소","2026-08-06-cleaning-auto-ec8541=주요 관점 유지, 2026-08-03-cleaning-auto-fd154a=전자레인지 냄새 제거 중심으로 검색의도 분리 검토"
2026-08-11-cleaning-auto-5be420,2026-08-06-cleaning-auto-17f2ed,LOW,0.53,예,"같은 세부 클러스터(laundry-clothing) / 공통 표현: 액체 세제, 캡슐 세제",검색의도 다름: 2026-08-11-cleaning-auto-5be420=비교형 / 2026-08-06-cleaning-auto-17f2ed=판단형,"2026-08-11-cleaning-auto-5be420=주요 관점 유지, 2026-08-06-cleaning-auto-17f2ed=1인 가구 세제 중심으로 검색의도 분리 검토"
2026-08-06-cleaning-auto-530ba0,2026-08-06-cleaning-auto-eb5789,LOW,0.54,예,"같은 세부 클러스터(laundry-clothing) / 공통 표현: 1인 가구 세탁, 집안일 최적화",검색의도 다름: 2026-08-06-cleaning-auto-530ba0=문제해결형 / 2026-08-06-cleaning-auto-eb5789=방법형,"2026-08-06-cleaning-auto-530ba0=주요 관점 유지, 2026-08-06-cleaning-auto-eb5789=세탁기 청소 주기 중심으로 검색의도 분리 검토"
2026-08-08-cleaning-auto-e6a45e,2026-08-06-cleaning-auto-eb5789,LOW,0.54,예,"같은 세부 클러스터(laundry-clothing) / 공통 표현: 세탁기 냄새, 세탁기 청소",검색의도 다름: 2026-08-08-cleaning-auto-e6a45e=질문형 / 2026-08-06-cleaning-auto-eb5789=방법형,"2026-08-08-cleaning-auto-e6a45e=주요 관점 유지, 2026-08-06-cleaning-auto-eb5789=세탁기 청소 주기 중심으로 검색의도 분리 검토"
2026-08-07-cleaning-auto-f340ae,2026-08-07-cleaning-auto-c3121d,LOW,0.53,아니오,"같은 세부 클러스터(odor-removal) / 공통 표현: 냉장고 정리 팁, 냉장고 냄새 제거",검색의도 다름: 2026-08-07-cleaning-auto-f340ae=방법형 / 2026-08-07-cleaning-auto-c3121d=문제해결형,"2026-08-07-cleaning-auto-f340ae=주요 관점 유지, 2026-08-07-cleaning-auto-c3121d=1인 가구 냉장고 중심으로 검색의도 분리 검토"
2026-08-08-housing-auto-82f28f,2026-07-30-housing-43,LOW,0.53,아니오,"같은 세부 클러스터(management-fee) / 공통 표현: 원룸 관리비, 오피스텔 관리비",검색의도 다름: 2026-08-08-housing-auto-82f28f=비용형 / 2026-07-30-housing-43=질문형,"2026-08-08-housing-auto-82f28f=주요 관점 유지, 2026-07-30-housing-43=관리비 항목 중심으로 검색의도 분리 검토"
2026-08-09-housing-auto-da13ec,2026-07-30-housing-45,LOW,0.53,아니오,같은 세부 클러스터(moving-prep) / 공통 표현: 이사 체크리스트,"2026-08-09-housing-auto-da13ec 고유 키워드: 나 홀로 이사, 이사 당일, 이사 체크리스트 / 2026-07-30-housing-45 고유 키워드: 이사 준비, 혼자 이사, 시간 절약","2026-08-09-housing-auto-da13ec=주요 관점 유지, 2026-07-30-housing-45=이사 준비 중심으로 검색의도 분리 검토"
2026-08-01-housing-auto-abec0f,2026-08-01-housing-auto-ace922,LOW,0.51,아니오,같은 세부 클러스터(lease-contract) / 공통 표현: 보증금 보호,검색의도 다름: 2026-08-01-housing-auto-abec0f=방법형 / 2026-08-01-housing-auto-ace922=질문형,"2026-08-01-housing-auto-abec0f=주요 관점 유지, 2026-08-01-housing-auto-ace922=집주인 변경 중심으로 검색의도 분리 검토"
2026-08-11-housing-auto-a2f088,2026-08-01-housing-auto-abec0f,LOW,0.52,아니오,같은 세부 클러스터(lease-contract) / 공통 표현: 보증금 보호,검색의도 다름: 2026-08-11-housing-auto-a2f088=체크형 / 2026-08-01-housing-auto-abec0f=방법형,"2026-08-11-housing-auto-a2f088=주요 관점 유지, 2026-08-01-housing-auto-abec0f=전월세 계약갱신 중심으로 검색의도 분리 검토"
2026-08-11-housing-auto-a2f088,2026-08-01-housing-auto-ace922,LOW,0.52,아니오,같은 세부 클러스터(lease-contract) / 공통 표현: 보증금 보호,검색의도 다름: 2026-08-11-housing-auto-a2f088=체크형 / 2026-08-01-housing-auto-ace922=질문형,"2026-08-11-housing-auto-a2f088=주요 관점 유지, 2026-08-01-housing-auto-ace922=집주인 변경 중심으로 검색의도 분리 검토"
2026-08-01-housing-auto-ecfb76,2026-08-07-housing-auto-5dd703,LOW,0.51,아니오,같은 세부 클러스터(lease-contract) / 공통 표현: 중도 해지,검색의도 다름: 2026-08-01-housing-auto-ecfb76=비용형 / 2026-08-07-housing-auto-5dd703=방법형,"2026-08-01-housing-auto-ecfb76=주요 관점 유지, 2026-08-07-housing-auto-5dd703=1인 가구 중도 해지 중심으로 검색의도 분리 검토"
2026-08-06-housing-auto-36b1cd,2026-08-08-housing-auto-d2c1ed,LOW,0.51,아니오,같은 세부 클러스터(deposit) / 공통 표현: 원상회복,검색의도 다름: 2026-08-06-housing-auto-36b1cd=질문형 / 2026-08-08-housing-auto-d2c1ed=비교형,"2026-08-06-housing-auto-36b1cd=주요 관점 유지, 2026-08-08-housing-auto-d2c1ed=퇴실청소 중심으로 검색의도 분리 검토"
2026-08-06-housing-auto-9d6fe3,2026-08-07-housing-auto-5dd703,LOW,0.5,아니오,같은 세부 클러스터(lease-contract) / 공통 표현: 전월세 계약 해지,"2026-08-06-housing-auto-9d6fe3 고유 키워드: 1인 가구 이사, 전월세 퇴거 통보, 계약 만료 보증금 / 2026-08-07-housing-auto-5dd703 고유 키워드: 1인 가구 중도 해지, 다음 세입자 찾기, 보증금 반환","2026-08-06-housing-auto-9d6fe3=주요 관점 유지, 2026-08-07-housing-auto-5dd703=1인 가구 중도 해지 중심으로 검색의도 분리 검토"
2026-07-30-lifestyle-61,2026-08-01-lifestyle-auto-b13421,LOW,0.51,예,같은 세부 클러스터(loneliness-isolation) / 공통 표현: 외로움 극복,"2026-07-30-lifestyle-61 고유 키워드: 1인 가구 외로움, 퇴근 후 쓸쓸함, 혼자 살기 / 2026-08-01-lifestyle-auto-b13421 고유 키워드: 1인 가구 커뮤니티, 직장인 동호회, 혼자 사는 사람 관계","2026-07-30-lifestyle-61=주요 관점 유지, 2026-08-01-lifestyle-auto-b13421=1인 가구 커뮤니티 중심으로 검색의도 분리 검토"
2026-08-06-lifestyle-auto-91c019,2026-08-11-lifestyle-auto-0f05f0,LOW,0.5,예,같은 세부 클러스터(loneliness-isolation) / 공통 표현: 친구 관계,"2026-08-06-lifestyle-auto-91c019 고유 키워드: 혼자 사는 친구, 결혼 육아 친구, 관계 유지 / 2026-08-11-lifestyle-auto-0f05f0 고유 키워드: 혼자 사는 직장인 친구 관계, 1인 가구 관계 정체기, 사회적 고립감 해소","2026-08-06-lifestyle-auto-91c019=주요 관점 유지, 2026-08-11-lifestyle-auto-0f05f0=혼자 사는 직장인 친구 관계 중심으로 검색의도 분리 검토"
2026-07-30-products-54,2026-08-01-products-78,LOW,0.54,아니오,"같은 세부 클러스터(kitchen-appliances) / 공통 표현: 미니 밥솥, 주방용품",검색의도 다름: 2026-07-30-products-54=판단형 / 2026-08-01-products-78=방법형,"2026-07-30-products-54=주요 관점 유지, 2026-08-01-products-78=1인용 밥솥 중심으로 검색의도 분리 검토"
2026-08-01-products-auto-fee2c4,2026-08-01-products-auto-153ac4,LOW,0.53,아니오,"같은 세부 클러스터(air-environment) / 공통 표현: 1인 가구 공기청정기, 공기청정기",검색의도 다름: 2026-08-01-products-auto-fee2c4=판단형 / 2026-08-01-products-auto-153ac4=비교형,"2026-08-01-products-auto-fee2c4=주요 관점 유지, 2026-08-01-products-auto-153ac4=1인 가구 제습기 중심으로 검색의도 분리 검토"
2026-08-01-products-auto-fee2c4,2026-08-08-products-auto-3477b8,LOW,0.53,아니오,"같은 세부 클러스터(air-environment) / 공통 표현: 1인 가구 공기청정기, 공기청정기",검색의도 다름: 2026-08-01-products-auto-fee2c4=판단형 / 2026-08-08-products-auto-3477b8=방법형,"2026-08-01-products-auto-fee2c4=주요 관점 유지, 2026-08-08-products-auto-3477b8=좁은 집 공기 중심으로 검색의도 분리 검토"
2026-07-30-safety-35,2026-08-05-safety-auto-9a8ad6,LOW,0.51,아니오,"같은 세부 클러스터(lock-security) / 공통 표현: 현관 보안, 생활 최적화",검색의도 다름: 2026-07-30-safety-35=문제해결형 / 2026-08-05-safety-auto-9a8ad6=비교형,"2026-07-30-safety-35=주요 관점 유지, 2026-08-05-safety-auto-9a8ad6=1인 가구 택배 중심으로 검색의도 분리 검토"
2026-08-01-safety-auto-1a5c71,2026-08-01-safety-auto-a71046,LOW,0.54,아니오,"같은 세부 클러스터(emergency-response) / 공통 표현: 문 잠김, 열쇠 분실",검색의도 다름: 2026-08-01-safety-auto-1a5c71=문제해결형 / 2026-08-01-safety-auto-a71046=방법형,"2026-08-01-safety-auto-1a5c71=주요 관점 유지, 2026-08-01-safety-auto-a71046=혼자 살 때 열쇠 분실 중심으로 검색의도 분리 검토"
2026-08-01-safety-auto-909169,2026-08-09-safety-auto-eb5e4c,LOW,0.52,아니오,"같은 세부 클러스터(lock-security) / 공통 표현: 열쇠 분실, 열쇠공",검색의도 다름: 2026-08-01-safety-auto-909169=비용형 / 2026-08-09-safety-auto-eb5e4c=방법형,"2026-08-01-safety-auto-909169=주요 관점 유지, 2026-08-09-safety-auto-eb5e4c=1인 가구 현관문 잠김 중심으로 검색의도 분리 검토"
2026-08-01-safety-auto-909169,2026-08-14-safety-auto-f47696,LOW,0.51,아니오,"같은 세부 클러스터(lock-security) / 공통 표현: 열쇠 분실, 응급상황 대처",검색의도 다름: 2026-08-01-safety-auto-909169=비용형 / 2026-08-14-safety-auto-f47696=문제해결형,"2026-08-01-safety-auto-909169=주요 관점 유지, 2026-08-14-safety-auto-f47696=1인 가구 안전 중심으로 검색의도 분리 검토"
2026-08-04-safety-auto-61ce38,2026-08-11-safety-auto-3045ad,LOW,0.5,아니오,같은 세부 클러스터(emergency-response) / 공통 표현: 주방안전,"2026-08-04-safety-auto-61ce38 고유 키워드: 칼에 베였을 때, 요리 중 부상, 지혈하는 법 / 2026-08-11-safety-auto-3045ad 고유 키워드: 칼 베임, 화상, 응급처치","2026-08-04-safety-auto-61ce38=주요 관점 유지, 2026-08-11-safety-auto-3045ad=칼 베임 중심으로 검색의도 분리 검토"
2026-08-07-safety-auto-e50d7a,2026-08-11-safety-auto-197473,LOW,0.53,아니오,"같은 세부 클러스터(emergency-response) / 공통 표현: 1인 가구 낙상, 안전·응급상황",검색의도 다름: 2026-08-07-safety-auto-e50d7a=방법형 / 2026-08-11-safety-auto-197473=비교형,"2026-08-07-safety-auto-e50d7a=주요 관점 유지, 2026-08-11-safety-auto-197473=낙상 감지기 중심으로 검색의도 분리 검토"
2026-07-30-storage-19,2026-08-05-storage-auto-d93cd5,LOW,0.5,예,같은 세부 클러스터(oneroom-storage) / 공통 표현: 원룸수납,검색의도 다름: 2026-07-30-storage-19=문제해결형 / 2026-08-05-storage-auto-d93cd5=비교형,"2026-07-30-storage-19=주요 관점 유지, 2026-08-05-storage-auto-d93cd5=1인 가구 수납 중심으로 검색의도 분리 검토"
2026-07-30-storage-19,2026-08-06-storage-auto-772373,LOW,0.5,예,같은 세부 클러스터(oneroom-storage) / 공통 표현: 공간활용,검색의도 다름: 2026-07-30-storage-19=문제해결형 / 2026-08-06-storage-auto-772373=질문형,"2026-07-30-storage-19=주요 관점 유지, 2026-08-06-storage-auto-772373=1인 가구 캐리어 중심으로 검색의도 분리 검토"
2026-07-30-storage-24,2026-08-06-storage-auto-ee77b8,LOW,0.52,예,같은 세부 클러스터(oneroom-storage) / 공통 표현: 정리,검색의도 다름: 2026-07-30-storage-24=판단형 / 2026-08-06-storage-auto-ee77b8=질문형,"2026-07-30-storage-24=주요 관점 유지, 2026-08-06-storage-auto-ee77b8=1인 가구 중심으로 검색의도 분리 검토"
2026-07-30-storage-24,2026-08-10-storage-auto-046a46,LOW,0.5,예,같은 세부 클러스터(oneroom-storage) / 공통 표현: 정리,검색의도 다름: 2026-07-30-storage-24=판단형 / 2026-08-10-storage-auto-046a46=질문형,"2026-07-30-storage-24=주요 관점 유지, 2026-08-10-storage-auto-046a46=1인 가구 장바구니 수납 중심으로 검색의도 분리 검토"
2026-08-01-storage-auto-316ab0,2026-08-06-storage-auto-ee77b8,LOW,0.53,예,같은 세부 클러스터(oneroom-storage) / 공통 표현: 정리,검색의도 다름: 2026-08-01-storage-auto-316ab0=비교형 / 2026-08-06-storage-auto-ee77b8=질문형,"2026-08-01-storage-auto-316ab0=주요 관점 유지, 2026-08-06-storage-auto-ee77b8=1인 가구 중심으로 검색의도 분리 검토"
2026-08-01-storage-auto-316ab0,2026-08-10-storage-auto-046a46,LOW,0.51,예,같은 세부 클러스터(oneroom-storage) / 공통 표현: 정리,검색의도 다름: 2026-08-01-storage-auto-316ab0=비교형 / 2026-08-10-storage-auto-046a46=질문형,"2026-08-01-storage-auto-316ab0=주요 관점 유지, 2026-08-10-storage-auto-046a46=1인 가구 장바구니 수납 중심으로 검색의도 분리 검토"
2026-08-08-storage-auto-12975c,2026-08-01-storage-auto-39ae63,LOW,0.53,예,같은 세부 클러스터(oneroom-storage) / 공통 표현: 청소 도구,"2026-08-08-storage-auto-12975c 고유 키워드: 1인 가구 청소 도구 수납, 좁은 집 청소용품 정리, 원룸 무선 청소기 거치대 / 2026-08-01-storage-auto-39ae63 고유 키워드: 1인 가구 수납, 원룸 청소 도구 보관, 좁은 집 공구 수납","2026-08-08-storage-auto-12975c=주요 관점 유지, 2026-08-01-storage-auto-39ae63=1인 가구 수납 중심으로 검색의도 분리 검토"
2026-08-01-storage-auto-39ae63,2026-08-08-storage-auto-24e806,LOW,0.51,예,같은 세부 클러스터(oneroom-storage) / 공통 표현: 청소 도구,"2026-08-01-storage-auto-39ae63 고유 키워드: 1인 가구 수납, 원룸 청소 도구 보관, 좁은 집 공구 수납 / 2026-08-08-storage-auto-24e806 고유 키워드: 1인 가구 청소 도구, 좁은 집 청소용품, 원룸 청소 수납","2026-08-01-storage-auto-39ae63=주요 관점 유지, 2026-08-08-storage-auto-24e806=1인 가구 청소 도구 중심으로 검색의도 분리 검토"
2026-08-01-storage-auto-f1fb81,2026-08-06-storage-auto-b1740f,LOW,0.5,예,같은 세부 클러스터(oneroom-storage) / 공통 표현: 좁은 집 수납 노하우,"2026-08-01-storage-auto-f1fb81 고유 키워드: 1인 가구 부피 큰 짐, 원룸 청소기 수납, 캐리어 보관법 / 2026-08-06-storage-auto-b1740f 고유 키워드: 1인 가구 홈트, 원룸 운동용품, 요가매트 보관","2026-08-01-storage-auto-f1fb81=주요 관점 유지, 2026-08-06-storage-auto-b1740f=1인 가구 홈트 중심으로 검색의도 분리 검토"
2026-08-05-storage-auto-1764b0,2026-08-06-storage-auto-4e768a,LOW,0.53,아니오,"같은 세부 클러스터(closet-clothing) / 공통 표현: 1인 가구 옷장, 옷장 최적화",검색의도 다름: 2026-08-05-storage-auto-1764b0=질문형 / 2026-08-06-storage-auto-4e768a=비교형,"2026-08-05-storage-auto-1764b0=주요 관점 유지, 2026-08-06-storage-auto-4e768a=좁은 옷장 수납 중심으로 검색의도 분리 검토"
2026-08-05-storage-auto-1764b0,2026-08-12-storage-auto-1aceff,LOW,0.54,아니오,"같은 세부 클러스터(closet-clothing) / 공통 표현: 1인 가구 옷장, 옷장 정리",검색의도 다름: 2026-08-05-storage-auto-1764b0=질문형 / 2026-08-12-storage-auto-1aceff=비교형,"2026-08-05-storage-auto-1764b0=주요 관점 유지, 2026-08-12-storage-auto-1aceff=가방 정리 중심으로 검색의도 분리 검토"
2026-08-06-storage-auto-11ba62,2026-08-11-storage-auto-9064d7,LOW,0.51,예,같은 세부 클러스터(oneroom-storage) / 공통 표현: 수납 스툴,"2026-08-06-storage-auto-11ba62 고유 키워드: 좁은 집 수납, 수납 벤치, 다용도 가구 / 2026-08-11-storage-auto-9064d7 고유 키워드: 수납 오토만, 이동식 트롤리, 거실 수납","2026-08-06-storage-auto-11ba62=주요 관점 유지, 2026-08-11-storage-auto-9064d7=수납 오토만 중심으로 검색의도 분리 검토"
2026-08-06-storage-auto-239c0d,2026-08-11-storage-auto-9064d7,LOW,0.5,예,같은 세부 클러스터(oneroom-storage) / 공통 표현: 생활 팁,검색의도 다름: 2026-08-06-storage-auto-239c0d=문제해결형 / 2026-08-11-storage-auto-9064d7=비교형,"2026-08-06-storage-auto-239c0d=주요 관점 유지, 2026-08-11-storage-auto-9064d7=1인 가구 수납 중심으로 검색의도 분리 검토"
2026-08-06-storage-auto-772373,2026-08-07-storage-auto-fcc47d,LOW,0.5,예,같은 세부 클러스터(oneroom-storage) / 공통 표현: 좁은 원룸 수납,"2026-08-06-storage-auto-772373 고유 키워드: 1인 가구 캐리어, 빈 캐리어 활용, 캐리어 정리 / 2026-08-07-storage-auto-fcc47d 고유 키워드: 1인 가구 수납, 계절 가전 보관, 선풍기 수납","2026-08-06-storage-auto-772373=주요 관점 유지, 2026-08-07-storage-auto-fcc47d=1인 가구 수납 중심으로 검색의도 분리 검토"
2026-08-06-storage-auto-ddb1d8,2026-08-07-storage-auto-6dca4b,LOW,0.51,예,같은 세부 클러스터(oneroom-storage) / 공통 표현: 효율적인 삶,검색의도 다름: 2026-08-06-storage-auto-ddb1d8=문제해결형 / 2026-08-07-storage-auto-6dca4b=질문형,"2026-08-06-storage-auto-ddb1d8=주요 관점 유지, 2026-08-07-storage-auto-6dca4b=좁은 집 정리 중심으로 검색의도 분리 검토"
2026-08-08-storage-auto-12975c,2026-08-08-storage-auto-24e806,LOW,0.51,예,같은 세부 클러스터(oneroom-storage) / 공통 표현: 청소 도구,"2026-08-08-storage-auto-12975c 고유 키워드: 1인 가구 청소 도구 수납, 좁은 집 청소용품 정리, 원룸 무선 청소기 거치대 / 2026-08-08-storage-auto-24e806 고유 키워드: 1인 가구 청소 도구, 좁은 집 청소용품, 원룸 청소 수납","2026-08-08-storage-auto-12975c=주요 관점 유지, 2026-08-08-storage-auto-24e806=1인 가구 청소 도구 중심으로 검색의도 분리 검토"
