rank,post_id,url,category,cluster,old_title,proposed_title,primary_keyword,search_intent,optimization_score,reason
44,2026-08-12-storage-auto-ec0e5a,https://honsamnote.co.kr/blog/2026-08-12-storage-auto-ec0e5a/,좁은 집과 수납,oneroom-storage,"1인 가구 직장인, 좁은 원룸 '넘쳐나는 재활용 쓰레기'에 발 디딜 틈 없다면? 깔끔하게 분리하고 스트레스 없이 배출하는 현실 수납법",1인 가구 재활용 알아보기｜좁은 원룸 분리수거,1인 가구 재활용,질문형,10.4,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
45,2026-08-13-safety-auto-c86e8c,https://honsamnote.co.kr/blog/2026-08-13-safety-auto-c86e8c/,안전·응급상황,emergency-response,"혼자 사는 당신, 갑자기 집이 흔들리거나 건물 전체 비상벨이 울릴 때: 지진인지, 건물 문제인지 당황하지 않고 판단하고 안전하게 대처하는 법",집 흔들림 기준｜지진 대처,집 흔들림,판단형,10.4,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
46,2026-08-13-storage-auto-545d8d,https://honsamnote.co.kr/blog/2026-08-13-storage-auto-545d8d/,좁은 집과 수납,oneroom-storage,"1인 가구 직장인, 좁은 책상·협탁 위 '자주 쓰는 잡동사니' 때문에 눈이 어지럽다면? '고정형 vs 벽걸이형' 현명하게 고르고 깔끔하게 쓰는 현실 수납법",1인 가구 수납 비교｜좁은 집 정리,1인 가구 수납,비교형,10.4,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
47,2026-08-01-lifestyle-auto-f56796,https://honsamnote.co.kr/blog/2026-08-01-lifestyle-auto-f56796/,관계·고립·생활 리듬,loneliness-isolation,"1인 가구 직장인, 퇴근 후 적막한 집에 활기를 더하고 싶다면? AI 스피커 vs. 미니 반려동물, 나에게 맞는 선택 가이드",혼자 사는 집 비교｜퇴근 후 루틴,혼자 사는 집,비교형,10.27,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
48,2026-08-03-lifestyle-auto-06c5e8,https://honsamnote.co.kr/blog/2026-08-03-lifestyle-auto-06c5e8/,관계·고립·생활 리듬,loneliness-isolation,"혼자 사는 직장인, '혼자 있는 시간 = 외로운 시간' 착각에 지쳤다면? '의무적 약속' vs. '계획된 고요', 나에게 맞는 시간 활용법",1인 가구 시간 활용 비교｜의무적 약속,1인 가구 시간 활용,비교형,10.27,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
49,2026-08-07-safety-auto-0d1c1b,https://honsamnote.co.kr/blog/2026-08-07-safety-auto-0d1c1b/,안전·응급상황,emergency-response,"혼자 사는 당신, 인터넷 공유기(라우터) 해킹이 의심될 때 개인 정보를 지키는 현실적인 방법",인터넷 공유기 해킹 방법｜라우터 보안,인터넷 공유기 해킹,방법형,10.2,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
50,2026-08-01-lifestyle-auto-ac59b7,https://honsamnote.co.kr/blog/2026-08-01-lifestyle-auto-ac59b7/,관계·고립·생활 리듬,loneliness-isolation,"혼자 사는 직장인, 피곤할 때 친구 약속 '괜찮다' 말하고 후회한다면? 최적의 소셜 에너지 관리법",혼자 사는 직장인 관계 알아보기｜친구 약속 피로,혼자 사는 직장인 관계,질문형,10.17,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
51,2026-08-08-cleaning-auto-e0020a,https://honsamnote.co.kr/blog/2026-08-08-cleaning-auto-e0020a/,청소·세탁·집안일,laundry-clothing,"혼자 사는 당신, 세탁 후에도 옷에 지저분한 보풀이 덕지덕지? 10분 만에 새 옷처럼 깔끔하게 되돌리는 현실 솔루션",보풀 제거 알아보기｜옷 보풀,보풀 제거,질문형,10.13,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
52,2026-08-01-storage-auto-4eec70,https://honsamnote.co.kr/blog/2026-08-01-storage-auto-4eec70/,좁은 집과 수납,oneroom-storage,"바쁜 1인 가구 직장인, 좁은 욕실 물건 쌓여 답답하다면? '우리 집'에 맞는 수납 솔루션 찾는 비교 가이드",1인 가구 욕실 정리 비교｜원룸 욕실 수납,1인 가구 욕실 정리,비교형,10.1,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
53,2026-08-06-cleaning-auto-ff8d39,https://honsamnote.co.kr/blog/2026-08-06-cleaning-auto-ff8d39/,청소·세탁·집안일,laundry-clothing,"혼자 사는 당신, 옷장 터지기 일보 직전? 헌 옷 깔끔하게 비우고 돈까지 버는 현실 가이드",1인 가구 옷 정리 알아보기｜헌 옷 버리기,1인 가구 옷 정리,질문형,10.03,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
54,2026-08-06-cost-auto-177634,https://honsamnote.co.kr/blog/2026-08-06-cost-auto-177634/,생활비 최적화,general-living-cost,"혼자 사는 직장인, 매달 드라이클리닝 비용 부담될 때! 집에서 세탁 vs 전문 업체, 후회 없이 결정하는 법",1인 가구 드라이클리닝 비교｜드라이클리닝 비용,1인 가구 드라이클리닝,비교형,10,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
55,2026-08-06-cost-auto-3826dd,https://honsamnote.co.kr/blog/2026-08-06-cost-auto-3826dd/,생활비 최적화,general-living-cost,"혼자 사는 직장인, 불안한 우리 집 보안, 돈 들이지 않고 강화할 수 있을까? 스마트 도어락 vs CCTV vs 보안 서비스, 현명한 선택 가이드",1인 가구 보안 비교｜스마트 도어락,1인 가구 보안,비교형,10,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
56,2026-08-06-cost-auto-bf984a,https://honsamnote.co.kr/blog/2026-08-06-cost-auto-bf984a/,생활비 최적화,general-living-cost,"혼자 사는 직장인, 매일 식비는 줄이고 싶지만 요리할 시간은 부족하다면? 에어프라이어 vs 전자레인지, 후회 없이 결정하는 법",1인 가구 식비 절약 비교｜에어프라이어 구매,1인 가구 식비 절약,비교형,10,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
57,2026-08-07-cost-auto-811cef,https://honsamnote.co.kr/blog/2026-08-07-cost-auto-811cef/,생활비 최적화,general-living-cost,"혼자 사는 직장인, 매일 쓰는 일회용품 쌓일 때마다 낭비 같아서 불안하다면? 다회용품 vs 일회용품, 내게 맞는 최적의 선택 기준",일회용품 줄이기 비교｜다회용품 선택,일회용품 줄이기,비교형,10,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
58,2026-08-07-cost-auto-d674a8,https://honsamnote.co.kr/blog/2026-08-07-cost-auto-d674a8/,생활비 최적화,general-living-cost,"혼자 사는 직장인, 빨래 말리는 공간 없어 한숨만 나온다면? 건조기 vs 건조대, 나에게 맞는 후회 없는 선택 가이드",1인 가구 빨래 비교｜건조기 추천,1인 가구 빨래,비교형,10,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
59,2026-08-07-storage-auto-18dbcb,https://honsamnote.co.kr/blog/2026-08-07-storage-auto-18dbcb/,좁은 집과 수납,oneroom-storage,"1인 가구 직장인, 좁은 원룸 '애물단지' 자전거! 벽걸이 vs 스탠드, 현명하게 고르는 법",1인 가구 자전거 비교｜원룸 자전거 보관,1인 가구 자전거,비교형,10,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
60,2026-08-10-cost-auto-78f79c,https://honsamnote.co.kr/blog/2026-08-10-cost-auto-78f79c/,생활비 최적화,general-living-cost,"혼자 사는 직장인, 집에 사소한 고장 났을 때! 직접 고치기 vs 전문가 부르기, 비용 아끼는 현명한 선택은?",1인 가구 집 수리 비교｜자가 수리 비용,1인 가구 집 수리,비교형,10,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
61,2026-08-10-cost-auto-88aeb7,https://honsamnote.co.kr/blog/2026-08-10-cost-auto-88aeb7/,생활비 최적화,general-living-cost,"혼자 사는 직장인, 요리할 때마다 가스 요금 걱정된다면? 인덕션 vs 하이라이트 vs 가스레인지, 내게 맞는 주방 에너지 선택 가이드",1인 가구 주방 비교｜전기레인지 추천,1인 가구 주방,비교형,10,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
62,2026-08-01-cleaning-auto-e1e505,https://honsamnote.co.kr/blog/2026-08-01-cleaning-auto-e1e505/,청소·세탁·집안일,bathroom-cleaning,"혼자 사는 당신, 어느새 벽에 번진 검은 곰팡이? 1시간 만에 완벽 제거하고 재발 막는 현실 솔루션",벽 곰팡이 알아보기｜곰팡이 없애는 법,벽 곰팡이,질문형,9.93,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
63,2026-08-07-cleaning-auto-ef484e,https://honsamnote.co.kr/blog/2026-08-07-cleaning-auto-ef484e/,청소·세탁·집안일,laundry-clothing,"혼자 사는 당신, 찝찝한 베개와 이불, 언제 어떻게 빨아야 할까요? 수면의 질을 높이는 침구류 세탁/관리 현실 가이드",1인 가구 침구 세탁 알아보기｜베개 세탁 주기,1인 가구 침구 세탁,질문형,9.93,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
64,2026-08-09-cleaning-auto-117267,https://honsamnote.co.kr/blog/2026-08-09-cleaning-auto-117267/,청소·세탁·집안일,bathroom-cleaning,"혼자 사는 당신, 샤워 후 곰팡이 핀 욕실 실리콘에 눈살 찌푸린다고요? 딱 30분, 검은 곰팡이 싹 잡고 새것처럼 되돌리는 현실 솔루션",실리콘 곰팡이 제거 알아보기｜욕실 곰팡이,실리콘 곰팡이 제거,질문형,9.93,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
65,2026-08-03-safety-auto-75476d,https://honsamnote.co.kr/blog/2026-08-03-safety-auto-75476d/,안전·응급상황,emergency-response,"혼자 사는 당신, 갑자기 지진이 났을 때 당황하지 않고 안전하게 대피하는 현실적인 방법",1인 가구 지진 방법｜지진 대피 요령,1인 가구 지진,방법형,9.9,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
66,2026-08-01-lifestyle-auto-29922b,https://honsamnote.co.kr/blog/2026-08-01-lifestyle-auto-29922b/,관계·고립·생활 리듬,loneliness-isolation,"혼자 살던 직장인, 외로움과 관리비 앞에 흔들린다면? 하우스메이트 vs. 완전한 독립, 나에게 맞는 선택 기준",혼자 사는 삶 비교｜하우스메이트 장단점,혼자 사는 삶,비교형,9.87,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
67,2026-08-07-cleaning-auto-e52e72,https://honsamnote.co.kr/blog/2026-08-07-cleaning-auto-e52e72/,청소·세탁·집안일,laundry-clothing,"혼자 사는 당신, 퀘퀘한 커튼 먼지 냄새? 좁은 집에서도 쾌적하게 만드는 현실적인 세탁·청소법",커튼 먼지 제거 알아보기｜커튼 세탁 주기,커튼 먼지 제거,질문형,9.83,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
68,2026-08-01-cost-auto-9c7467,https://honsamnote.co.kr/blog/2026-08-01-cost-auto-9c7467/,생활비 최적화,general-living-cost,"혼자 사는 직장인, 매달 옷값으로 새는 돈 아까울 때! 충동구매 줄이고 '스마트 쇼핑'으로 옷장 최적화하는 법",혼자 사는 직장인 옷 방법｜옷값 절약,혼자 사는 직장인 옷,방법형,9.8,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
69,2026-08-03-cost-auto-749379,https://honsamnote.co.kr/blog/2026-08-03-cost-auto-749379/,생활비 최적화,general-living-cost,"혼자 사는 직장인, 집에 인터넷 꼭 설치해야 할까? 모바일 데이터 vs 광랜, 후회 없는 결정 가이드",1인 가구 인터넷 비교｜모바일 핫스팟,1인 가구 인터넷,비교형,9.8,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
70,2026-08-06-cost-auto-9d0ea4,https://honsamnote.co.kr/blog/2026-08-06-cost-auto-9d0ea4/,생활비 최적화,general-living-cost,"혼자 사는 직장인, 밤마다 불청객 때문에 잠 못 이룬다면? DIY 해충 박멸 vs 전문 방역 서비스, 후회 없이 결정하는 법",1인 가구 해충 비교｜해충 박멸 비용,1인 가구 해충,비교형,9.8,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
71,2026-08-07-cleaning-auto-27a7fe,https://honsamnote.co.kr/blog/2026-08-07-cleaning-auto-27a7fe/,청소·세탁·집안일,kitchen-cleaning,"혼자 사는 당신, 매일 쓰는 주방 행주 위생 고민? 일회용 행주 vs. 재사용 행주, 현명한 선택 기준",1인 가구 행주 비교｜일회용 행주,1인 가구 행주,비교형,9.8,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
72,2026-08-07-cleaning-auto-cb5dfe,https://honsamnote.co.kr/blog/2026-08-07-cleaning-auto-cb5dfe/,청소·세탁·집안일,kitchen-cleaning,"혼자 사는 당신, 오븐 속 끈적한 기름때와 탄 자국? 퇴근 후 30분, 새것처럼 되돌리는 초간단 청소법",혼자 사는 오븐 청소 알아보기｜오븐 찌든 때,혼자 사는 오븐 청소,질문형,9.8,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
73,2026-08-13-cost-auto-b1e536,https://honsamnote.co.kr/blog/2026-08-13-cost-auto-b1e536/,생활비 최적화,general-living-cost,"혼자 사는 직장인, 사소한 집안일에 매번 공구 빌리기 번거롭다면? 멀티 공구 세트 구매 vs 필요할 때마다 대여/전문가 부르기, 후회 없는 선택 가이드",1인 가구 공구 비교｜멀티 공구 세트,1인 가구 공구,비교형,9.8,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
74,2026-08-07-cleaning-auto-f46339,https://honsamnote.co.kr/blog/2026-08-07-cleaning-auto-f46339/,청소·세탁·집안일,bathroom-cleaning,"혼자 사는 당신, 화장실 환풍기에서 퀴퀴한 냄새? 15분 만에 쾌적한 욕실 만드는 초간단 청소법",화장실 환풍기 냄새 알아보기｜환풍기 청소 주기,화장실 환풍기 냄새,질문형,9.73,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
75,2026-08-06-storage-auto-5477a3,https://honsamnote.co.kr/blog/2026-08-06-storage-auto-5477a3/,좁은 집과 수납,oneroom-storage,"좁은 원룸, 매번 다림질에 한숨 쉬는 1인 가구라면? '다리미판 vs 스팀다리미' 현명하게 고르는 법",1인 가구 다림질 비교｜좁은 집 다리미,1인 가구 다림질,비교형,9.7,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
76,2026-08-06-lifestyle-auto-bf4537,https://honsamnote.co.kr/blog/2026-08-06-lifestyle-auto-bf4537/,관계·고립·생활 리듬,loneliness-isolation,"혼자 사는 직장인, 갑작스러운 이별에 무너진 일상과 공허함? 나만의 회복 루틴으로 다시 서는 현실 가이드",1인 가구 이별 알아보기｜관계 단절 회복,1인 가구 이별,질문형,9.67,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
77,2026-08-07-lifestyle-auto-0b115c,https://honsamnote.co.kr/blog/2026-08-07-lifestyle-auto-0b115c/,관계·고립·생활 리듬,loneliness-isolation,"혼자 사는 직장인, 혼자 끙끙 앓는 마음의 짐? 전문 상담 vs. 익명 커뮤니티, 나에게 맞는 감정 해소법",1인 가구 감정 해소 비교｜심리 상담 비용,1인 가구 감정 해소,비교형,9.67,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
78,2026-08-07-lifestyle-auto-6d2617,https://honsamnote.co.kr/blog/2026-08-07-lifestyle-auto-6d2617/,관계·고립·생활 리듬,loneliness-isolation,"혼자 사는 직장인, 외로움에 반려동물 입양 고민한다면? 충동 구매 막고 후회 없는 결정을 위한 현실 가이드",1인가구 반려동물 알아보기｜반려동물 입양,1인가구 반려동물,질문형,9.67,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
79,2026-08-08-lifestyle-auto-83e6d5,https://honsamnote.co.kr/blog/2026-08-08-lifestyle-auto-83e6d5/,관계·고립·생활 리듬,loneliness-isolation,"혼자 사는 직장인, 퇴근 후 적막한 집에 오히려 불편함을 느낀다면? 나만의 '고요한 안식처' 만드는 법",혼자 사는 불편함 알아보기｜퇴근 후 적막,혼자 사는 불편함,질문형,9.67,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
80,2026-08-08-lifestyle-auto-9fe492,https://honsamnote.co.kr/blog/2026-08-08-lifestyle-auto-9fe492/,관계·고립·생활 리듬,loneliness-isolation,"혼자 사는 직장인, 친구들 라이프스타일 달라져 약속 잡기 애매하다면? 내 시간과 에너지를 아끼는 스마트 소셜 스케줄링",1인 가구 친구 관계 알아보기｜라이프스타일 차이,1인 가구 친구 관계,질문형,9.67,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
81,2026-08-14-lifestyle-auto-e506f6,https://honsamnote.co.kr/blog/2026-08-14-lifestyle-auto-e506f6/,관계·고립·생활 리듬,loneliness-isolation,"혼자 사는 직장인, 나만의 기념일, 혼자 보낼까 함께 보낼까? '소소한 자기 보상' vs. '가벼운 소셜 이벤트', 나에게 맞는 선택 기준",1인 가구 기념일 비교｜혼자 생일 보내기,1인 가구 기념일,비교형,9.67,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
82,2026-08-06-safety-auto-97b7d5,https://honsamnote.co.kr/blog/2026-08-06-safety-auto-97b7d5/,안전·응급상황,emergency-response,"혼자 사는 당신, 외출 중 지갑이나 신분증을 잃어버렸을 때: 당황하지 않고 개인정보와 재산을 지키는 최단기 대처법",지갑 잃어버렸을 때 해결 방법｜신분증 분실,지갑 잃어버렸을 때,문제해결형,9.6,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
83,2026-08-10-cleaning-auto-8285cc,https://honsamnote.co.kr/blog/2026-08-10-cleaning-auto-8285cc/,청소·세탁·집안일,kitchen-cleaning,"혼자 사는 당신, 쌓이는 주방 기름때와 정리 안 되는 식료품? 퇴근 후 30분, 깔끔하고 효율적인 수납장 청소 가이드",주방 수납장 청소 알아보기｜혼자 살림,주방 수납장 청소,질문형,9.6,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
84,2026-08-10-cost-auto-2c9756,https://honsamnote.co.kr/blog/2026-08-10-cost-auto-2c9756/,생활비 최적화,general-living-cost,"혼자 사는 직장인, 세탁 세제 살 때마다 고민된다면? 액체 vs 가루 vs 캡슐, 나에게 맞는 최적의 선택 가이드",세탁세제 종류 비교｜액체세제,세탁세제 종류,비교형,9.6,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
85,2026-08-14-cost-auto-c66395,https://honsamnote.co.kr/blog/2026-08-14-cost-auto-c66395/,생활비 최적화,general-living-cost,"혼자 사는 직장인, 외풍 때문에 겨울마다 난방비 폭탄이라면? 셀프 방풍/단열 시공으로 따뜻하고 돈 아끼는 법",난방비 절약 알아보기｜외풍,난방비 절약,질문형,9.6,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
86,2026-08-05-lifestyle-auto-420299,https://honsamnote.co.kr/blog/2026-08-05-lifestyle-auto-420299/,관계·고립·생활 리듬,loneliness-isolation,"1인 가구 직장인, 재택근무로 무너진 생활 리듬과 고립감? 나만의 홈 오피스 루틴으로 잡는 법",재택근무 루틴 알아보기｜재택근무 생활 리듬,재택근무 루틴,질문형,9.57,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
87,2026-08-07-cleaning-auto-d3c72b,https://honsamnote.co.kr/blog/2026-08-07-cleaning-auto-d3c72b/,청소·세탁·집안일,bathroom-cleaning,"혼자 사는 당신, 변기 속 보기 싫은 노란 얼룩·물때? 지금 당장 새것처럼 되돌리는 현실 솔루션",변기 얼룩 제거 알아보기｜변기 물때 청소,변기 얼룩 제거,질문형,9.53,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
