cluster_id,cluster_name,primary_page,primary_url,primary_title,supporting_page_count,supporting_pages,reason
appliance-cleaning,가전제품 청소,2026-08-06-cleaning-auto-ab8bbf,https://honsamnote.co.kr/blog/2026-08-06-cleaning-auto-ab8bbf/,에어컨 필터 청소 비교｜에어컨 관리,1,2026-08-14-cleaning-auto-0fc7dd,주제 적합도(matchScore 20.7점 환산)·들어오는 링크·본문 충실도 기준 최상위
gas-bill,가스요금,2026-07-30-cost-2,https://honsamnote.co.kr/blog/2026-07-30-cost-2/,"혼자 사는 직장인, 예상치 못한 공과금 폭탄 피하는 전기·가스·수도 요금 절약 실전 가이드",0,,클러스터에 글이 1개뿐 — 그 글이 곧 대표 콘텐츠
subscription-cost,구독·정기결제,2026-07-30-cost-5,https://honsamnote.co.kr/blog/2026-07-30-cost-5/,"바쁜 1인 가구 직장인, 매달 새는 돈 막으려면? 잠든 구독 서비스 깨끗하게 정리하는 3단계",0,,클러스터에 글이 1개뿐 — 그 글이 곧 대표 콘텐츠
move-out-registration,전입신고·퇴실,2026-07-30-housing-49,https://honsamnote.co.kr/blog/2026-07-30-housing-49/,퇴실청소 분쟁 체크리스트｜원상복구 의무,0,,클러스터에 글이 1개뿐 — 그 글이 곧 대표 콘텐츠
living-services,생활서비스,2026-08-06-products-auto-6e0ac5,https://honsamnote.co.kr/blog/2026-08-06-products-auto-6e0ac5/,1인 가구 이사 비용 정리｜이사 서비스,0,,클러스터에 글이 1개뿐 — 그 글이 곧 대표 콘텐츠
gas-safety,가스 안전,2026-08-08-safety-auto-84a0bd,https://honsamnote.co.kr/blog/2026-08-08-safety-auto-84a0bd/,"혼자 사는 당신, 주방이나 보일러실에서 가스 냄새가 희미하게 날 때: 당황하지 않고 안전하게 확인하고 대처하는 현실적인 방법",0,,클러스터에 글이 1개뿐 — 그 글이 곧 대표 콘텐츠
bathroom-storage,욕실 수납,2026-08-08-storage-auto-9dbb87,https://honsamnote.co.kr/blog/2026-08-08-storage-auto-9dbb87/,"1인 가구 직장인, 좁은 욕실 세면대·선반 위 '화장품·세면도구' 넘쳐난다면? 깔끔하게 숨기고 효율적으로 쓰는 현실 수납법",0,,클러스터에 글이 1개뿐 — 그 글이 곧 대표 콘텐츠
storage-products,수납용품,2026-08-09-products-auto-b63f8d,https://honsamnote.co.kr/blog/2026-08-09-products-auto-b63f8d/,"혼자 사는 직장인, 좁은 집 꽉 찬 옷장, 계절 옷 수납 때문에 골치 아프다면? 1인 가구 맞춤 계절 옷 보관, 이 3가지 방법으로 공간을 되찾으세요!",0,,클러스터에 글이 1개뿐 — 그 글이 곧 대표 콘텐츠
solo-travel-hobby,혼자여행·취미,2026-08-10-lifestyle-auto-3e13f1,https://honsamnote.co.kr/blog/2026-08-10-lifestyle-auto-3e13f1/,"혼자 사는 직장인, 휴가 계획할 때 친구들과 갈까 혼자 갈까 고민된다면? 나에게 맞는 여행 스타일 선택 가이드",0,,클러스터에 글이 1개뿐 — 그 글이 곧 대표 콘텐츠
cable-small-items,케이블·소형물품 정리,2026-08-10-storage-auto-0a8470,https://honsamnote.co.kr/blog/2026-08-10-storage-auto-0a8470/,"1인 가구 직장인, 좁은 집에 엉킨 충전 케이블·이어폰 때문에 스트레스라면? 깔끔하게 정리하고 바로 찾아 쓰는 현실 수납법",0,,클러스터에 글이 1개뿐 — 그 글이 곧 대표 콘텐츠
