rank,post_id,url,current_title,proposed_title,primary_keyword,search_intent,cluster,primary_page,score,grade,confidence,action,reason
106,2026-08-06-storage-auto-b1740f,https://honsamnote.co.kr/blog/2026-08-06-storage-auto-b1740f/,"1인 가구 직장인, 좁은 원룸 '매트·덤벨·폼롤러' 발에 채인다면? 홈트 용품 똑똑하게 보관하고 깔끔하게 쓰는 현실 수납법",1인 가구 홈트 알아보기｜원룸 운동용품,1인 가구 홈트,질문형,oneroom-storage,no,8.6,A,HIGH,APPLIED,"A등급 재판정: score 8.6, 대표 키워드+의도 포함, 충돌 없음"
107,2026-08-07-storage-auto-54d5cd,https://honsamnote.co.kr/blog/2026-08-07-storage-auto-54d5cd/,"1인 가구 직장인, 좁은 침대 밑 공간 '애물단지'라면? 수납형 vs 일반 침대 프레임, 내게 맞는 선택 기준 비교",침대 밑 수납 비교｜수납형 침대,침대 밑 수납,비교형,oneroom-storage,no,8.6,A,HIGH,APPLIED,"A등급 재판정: score 8.6, 대표 키워드+의도 포함, 충돌 없음"
108,2026-08-08-storage-auto-12975c,https://honsamnote.co.kr/blog/2026-08-08-storage-auto-12975c/,"1인 가구 직장인, 좁은 집에 '자주 쓰는 청소 도구'가 발에 걸린다면? 깔끔하게 숨기고 효율적으로 쓰는 현실 수납법",1인 가구 청소 도구 수납 알아보기｜좁은 집 청소용품 정리,1인 가구 청소 도구 수납,질문형,oneroom-storage,no,8.6,A,HIGH,APPLIED,"A등급 재판정: score 8.6, 대표 키워드+의도 포함, 충돌 없음"
109,2026-08-10-products-auto-ea40dc,https://honsamnote.co.kr/blog/2026-08-10-products-auto-ea40dc/,"혼자 사는 직장인, 난방비 폭탄은 싫은데 발 시린 창가에 지쳤다면? 1인 가구 맞춤 '우풍 완벽 차단', 이 3단계로 끝내세요!",1인 가구 난방 알아보기｜우풍 해결,1인 가구 난방,질문형,products-general,no,8.6,A,HIGH,APPLIED,"A등급 재판정: score 8.6, 대표 키워드+의도 포함, 충돌 없음"
110,2026-08-11-food-auto-452e94,https://honsamnote.co.kr/blog/2026-08-11-food-auto-452e94/,"혼자 사는 직장인, 매일 신선 채소 챙겨 먹기 어려울 때: 샐러드 정기배송 vs. 직접 재료 손질, 당신의 건강과 지갑을 위한 현명한 선택",1인 가구 채소 비교｜샐러드 정기배송,1인 가구 채소,비교형,food-general,no,8.6,A,HIGH,APPLIED,"A등급 재판정: score 8.6, 대표 키워드+의도 포함, 충돌 없음"
111,2026-08-11-products-auto-056afc,https://honsamnote.co.kr/blog/2026-08-11-products-auto-056afc/,"혼자 사는 직장인, 집 비울 때나 혼자 있을 때 우리 집 보안 걱정된다면? 1인 가구 홈 CCTV vs. 전문 보안 서비스, 내게 맞는 최적의 선택은?",1인 가구 보안 비교｜자가 CCTV,1인 가구 보안,비교형,products-general,no,8.6,C,LOW,HOLD(C),role-split candidate — 제목에 서로 다른 검색의도/주제가 섞여 있어 보임(자동 분리하지 않음)
112,2026-08-11-safety-auto-3045ad,https://honsamnote.co.kr/blog/2026-08-11-safety-auto-3045ad/,"혼자 사는 당신, 요리하다 칼에 베이거나 뜨거운 물에 데였을 때: 당황하지 않고 신속하게 응급처치하고 병원 갈지 판단하는 현실적인 방법",칼 베임 기준｜화상,칼 베임,판단형,emergency-response,no,8.6,A,HIGH,APPLIED,"A등급 재판정: score 8.6, 대표 키워드+의도 포함, 충돌 없음"
113,2026-08-12-products-auto-2ee7a1,https://honsamnote.co.kr/blog/2026-08-12-products-auto-2ee7a1/,"혼자 사는 직장인, 매번 장보기 번거롭고 필요한 건 깜빡한다면? 1인 가구 맞춤 구독 박스 vs 직접 장보기, 나에게 딱 맞는 선택은?",1인 가구 구독 박스 비교｜혼자 장보기,1인 가구 구독 박스,비교형,products-general,no,8.6,C,LOW,HOLD(C),role-split candidate — 제목에 서로 다른 검색의도/주제가 섞여 있어 보임(자동 분리하지 않음)
114,2026-08-14-products-auto-50ff5a,https://honsamnote.co.kr/blog/2026-08-14-products-auto-50ff5a/,"혼자 사는 직장인, 낮에 배송된 택배 문 앞에 쌓여 불안하다면? 1인 가구 스마트 택배함 vs 무인택배함, 내게 맞는 최적의 선택은?",1인 가구 택배 비교｜택배 도난 방지,1인 가구 택배,비교형,products-general,no,8.6,C,LOW,HOLD(C),role-split candidate — 제목에 서로 다른 검색의도/주제가 섞여 있어 보임(자동 분리하지 않음)
115,2026-07-30-food-10,https://honsamnote.co.kr/blog/2026-07-30-food-10/,"퇴근 후 요리 스트레스 줄여줄 1인 가구 필수템, 식재료 소분과 냉동 보관 완벽 가이드",1인 가구 식재료 해결 방법｜소분 보관,1인 가구 식재료,문제해결형,freeze-portion,yes,8.5,A,HIGH,APPLIED,"A등급 재판정: score 8.4, 대표 키워드+의도 포함, 충돌 없음"
116,2026-07-30-housing-47,https://honsamnote.co.kr/blog/2026-07-30-housing-47/,"원룸/오피스텔 고장났나요? 혼자 끙끙 앓지 말고, 집주인에게 스마트하게 수리 요청하는 법",집주인수리책임 방법｜임대차계약,집주인수리책임,방법형,landlord-issues,no,8.5,A,HIGH,APPLIED,"A등급 재판정: score 8.4, 대표 키워드+의도 포함, 충돌 없음"
117,2026-07-30-products-57,https://honsamnote.co.kr/blog/2026-07-30-products-57/,"바쁜 1인 가구 직장인, 장보기 시간 아깝다면? 돈과 시간 아끼는 정기배송 서비스 선택 가이드",정기배송 서비스 비교 비교｜생필품 정기배송,정기배송 서비스 비교,비교형,products-general,no,8.5,A,HIGH,APPLIED,"A등급 재판정: score 8.5, 대표 키워드+의도 포함, 충돌 없음"
118,2026-07-30-safety-36,https://honsamnote.co.kr/blog/2026-07-30-safety-36/,"혼자 사는 당신, 퇴근 후 집에 들어서자마자 섬뜩한 가스 냄새가 날 때, 이렇게 행동하세요",가스 냄새 대처법 해결 방법｜혼자 살 때 안전,가스 냄새 대처법,문제해결형,emergency-response,no,8.5,A,HIGH,APPLIED,"A등급 재판정: score 8.5, 대표 키워드+의도 포함, 충돌 없음"
119,2026-07-30-safety-41,https://honsamnote.co.kr/blog/2026-07-30-safety-41/,"혼자 사는 당신이 아프거나 연락 안 될 때: 위기 상황 대비 비상연락망, 이렇게 만드세요!",1인 가구 안전 해결 방법｜비상연락망 만들기,1인 가구 안전,문제해결형,emergency-response,no,8.5,A,HIGH,APPLIED,"A등급 재판정: score 8.5, 대표 키워드+의도 포함, 충돌 없음"
120,2026-07-31-products-76,https://honsamnote.co.kr/blog/2026-07-31-products-76/,"자취생, 퇴근 후 음식물쓰레기 악취 탈출? 우리집에 딱 맞는 처리기 고르는 법",1인 가구 음식물처리기 방법｜음식물처리기 추천,1인 가구 음식물처리기,방법형,products-general,no,8.5,A,HIGH,APPLIED,"A등급 재판정: score 8.5, 대표 키워드+의도 포함, 충돌 없음"
121,2026-08-01-products-auto-9e3228,https://honsamnote.co.kr/blog/2026-08-01-products-auto-9e3228/,"혼자 사는 직장인, 퇴근 후 저녁 식사 고민 끝! 1인 가구 맞춤 밀키트·반찬 구독 서비스, 현명하게 고르는 법",1인 가구 밀키트 방법｜식비 절약 노하우,1인 가구 밀키트,방법형,products-general,no,8.5,A,HIGH,APPLIED,"A등급 재판정: score 8.5, 대표 키워드+의도 포함, 충돌 없음"
122,2026-08-01-storage-auto-387eaf,https://honsamnote.co.kr/blog/2026-08-01-storage-auto-387eaf/,"좁은 원룸, 의자에 쌓이는 '어중간한 옷'더미! 1인 가구라면 이것부터 확인하세요",1인 가구 옷 정리 해결 방법｜원룸 옷 보관,1인 가구 옷 정리,문제해결형,oneroom-storage,no,8.5,A,HIGH,APPLIED,"A등급 재판정: score 8.5, 대표 키워드+의도 포함, 충돌 없음"
123,2026-08-01-storage-auto-662a7f,https://honsamnote.co.kr/blog/2026-08-01-storage-auto-662a7f/,"1인 가구 직장인, 좁은 원룸 '한 번 입은 옷' 더미! 간편한 의류 리프레시 존 만드는 현실 팁",1인 가구 옷 정리 해결 방법｜한 번 입은 옷,1인 가구 옷 정리,문제해결형,oneroom-storage,no,8.5,A,HIGH,APPLIED,"A등급 재판정: score 8.5, 대표 키워드+의도 포함, 충돌 없음"
124,2026-08-01-storage-auto-c94563,https://honsamnote.co.kr/blog/2026-08-01-storage-auto-c94563/,"퇴근 후 1인 가구, 현관문 열자마자 어지럽다면? 1평 현관, '비우는 공간'으로 만드는 현실 수납법",현관 정리 알아보기｜좁은 현관 수납,현관 정리,질문형,entryway-storage,yes,8.5,A,HIGH,APPLIED,"A등급 재판정: score 8.5, 대표 키워드+의도 포함, 충돌 없음"
125,2026-08-03-cleaning-auto-d96324,https://honsamnote.co.kr/blog/2026-08-03-cleaning-auto-d96324/,"혼자 사는 직장인, 퇴근 후 지저분한 바닥? 로봇청소기 vs 무선청소기, 후회 없는 선택 기준",1인 가구 청소기 비교｜로봇청소기 추천,1인 가구 청소기,비교형,cleaning-tools-time,no,8.5,A,HIGH,APPLIED,"A등급 재판정: score 8.5, 대표 키워드+의도 포함, 충돌 없음"
126,2026-08-03-food-auto-b8f8a0,https://honsamnote.co.kr/blog/2026-08-03-food-auto-b8f8a0/,"1인 가구 직장인, 신선한 고기·생선 한 팩이 부담될 때? 버리지 않고 맛있게 즐기는 구매부터 소분, 냉동 보관까지의 현실적인 루틴",1인 가구 고기 알아보기｜혼자 생선,1인 가구 고기,질문형,freeze-portion,no,8.5,A,HIGH,APPLIED,"A등급 재판정: score 8.4, 대표 키워드+의도 포함, 충돌 없음"
127,2026-08-03-safety-auto-273fdf,https://honsamnote.co.kr/blog/2026-08-03-safety-auto-273fdf/,"혼자 사는 당신, 한밤중 갑자기 대형 바퀴벌레나 쥐를 발견했을 때: 패닉 없이 안전하게 퇴치하고 예방하는 법",1인 가구 해충 방법｜쥐 퇴치,1인 가구 해충,방법형,pest-control,yes,8.5,A,HIGH,APPLIED,"A등급 재판정: score 8.5, 대표 키워드+의도 포함, 충돌 없음"
128,2026-08-04-cleaning-auto-0b0c02,https://honsamnote.co.kr/blog/2026-08-04-cleaning-auto-0b0c02/,"혼자 사는 당신, 퇴근 후 밟히는 끈적한 바닥? 좁은 원룸 물걸레 청소, 딱 10분이면 충분합니다!",혼자사는직장인 알아보기｜물걸레 청소,혼자사는직장인,질문형,cleaning-tools-time,no,8.5,A,HIGH,APPLIED,"A등급 재판정: score 8.5, 대표 키워드+의도 포함, 충돌 없음"
129,2026-08-04-food-auto-908ca9,https://honsamnote.co.kr/blog/2026-08-04-food-auto-908ca9/,"1인 가구, 대용량 잡곡·가루·장류 앞에서 망설일 때? 진짜 이득인지 따져보는 현명한 선택 가이드",대용량 식재료 알아보기｜잡곡 보관,대용량 식재료,질문형,grocery-shopping,no,8.5,A,HIGH,APPLIED,"A등급 재판정: score 8.5, 대표 키워드+의도 포함, 충돌 없음"
130,2026-08-04-housing-auto-e8de0c,https://honsamnote.co.kr/blog/2026-08-04-housing-auto-e8de0c/,"혼자 사는 직장인, 집주인/관리사무소의 갑작스러운 방문 요청, 내 사생활 지키며 똑똑하게 대처하는 법",1인 가구 방문 요청 체크리스트｜집주인 방문,1인 가구 방문 요청,체크형,landlord-issues,no,8.5,A,HIGH,APPLIED,"A등급 재판정: score 8.4, 대표 키워드+의도 포함, 충돌 없음"
131,2026-08-05-safety-auto-4e7f26,https://honsamnote.co.kr/blog/2026-08-05-safety-auto-4e7f26/,"혼자 사는 당신, 콘센트에서 타는 냄새나 스파크가 튈 때: 감전과 화재 위험 없이 안전하게 대처하는 법",콘센트 스파크 방법｜콘센트 타는 냄새,콘센트 스파크,방법형,fire-prevention,no,8.5,A,HIGH,APPLIED,"A등급 재판정: score 8.5, 대표 키워드+의도 포함, 충돌 없음"
132,2026-08-05-storage-auto-d93cd5,https://honsamnote.co.kr/blog/2026-08-05-storage-auto-d93cd5/,"1인 가구 직장인, 좁은 원룸 벽면을 효율적으로 쓰고 싶다면? 페그보드 vs. 벽 선반, 내게 맞는 선택 기준 비교",1인 가구 수납 비교｜좁은 집 수납,1인 가구 수납,비교형,oneroom-storage,no,8.5,A,MEDIUM,HOLD(MEDIUM),충돌 위험: 다른 글 제목과 동일해질 수 있음
133,2026-08-06-housing-auto-778093,https://honsamnote.co.kr/blog/2026-08-06-housing-auto-778093/,"혼자 사는 직장인, 우리 집 안전 지킴이! 디지털 도어락 vs 보조키, 내게 맞는 현명한 선택은?",혼자 사는 집 안전 비교｜디지털 도어락 추천,혼자 사는 집 안전,비교형,landlord-issues,yes,8.5,A,MEDIUM,HOLD(MEDIUM),fact-check 위험 있는 글 — 제목 변경 보류(내용 검증 우선)
134,2026-08-06-storage-auto-11ba62,https://honsamnote.co.kr/blog/2026-08-06-storage-auto-11ba62/,"1인 가구 직장인, 좁은 원룸 거실 '앉을 자리도, 수납도 부족'하다면? 수납 스툴 vs. 수납 벤치, 현명하게 고르는 법",1인 가구 수납 비교｜원룸 수납,1인 가구 수납,비교형,oneroom-storage,no,8.5,A,HIGH,APPLIED,"A등급 재판정: score 8.5, 대표 키워드+의도 포함, 충돌 없음"
135,2026-08-07-food-auto-c3ab2b,https://honsamnote.co.kr/blog/2026-08-07-food-auto-c3ab2b/,"혼자 사는 직장인, 냉동 간편식·어제 반찬 데울 때: 에어프라이어 vs. 전자레인지, 당신의 최적 선택 가이드",냉동식품 비교｜간편식,냉동식품,비교형,solo-meal-recipe,no,8.5,A,HIGH,APPLIED,"A등급 재판정: score 8.5, 대표 키워드+의도 포함, 충돌 없음"
136,2026-08-07-products-auto-074e7a,https://honsamnote.co.kr/blog/2026-08-07-products-auto-074e7a/,"혼자 사는 직장인, 가끔 필요한 문서 인쇄가 번거롭다면? 개인 프린터 vs 인쇄 서비스, 내게 맞는 최적의 선택은?",1인 가구 프린터 비교｜문서 인쇄 방법,1인 가구 프린터,비교형,products-general,no,8.5,C,LOW,HOLD(C),role-split candidate — 제목에 서로 다른 검색의도/주제가 섞여 있어 보임(자동 분리하지 않음)
137,2026-08-07-products-auto-2fe4a8,https://honsamnote.co.kr/blog/2026-08-07-products-auto-2fe4a8/,"혼자 사는 직장인, 좁은 집에 쌓이는 분리수거에 지쳤다면? 1인 가구 맞춤 '똑똑한 분리수거' 3단계로 끝내세요!",1인 가구 분리수거 알아보기｜좁은집 재활용,1인 가구 분리수거,질문형,products-general,no,8.5,A,HIGH,APPLIED,"A등급 재판정: score 8.5, 대표 키워드+의도 포함, 충돌 없음"
138,2026-08-07-products-auto-b07e5f,https://honsamnote.co.kr/blog/2026-08-07-products-auto-b07e5f/,"혼자 사는 직장인, 퇴근 후 창문/베란다 보안 걱정된다면? 1인 가구 맞춤 방범, '물리 + 감지 + 경고' 3단계로 끝내세요!",1인 가구 방범 알아보기｜창문 잠금장치,1인 가구 방범,질문형,products-general,no,8.5,A,HIGH,APPLIED,"A등급 재판정: score 8.5, 대표 키워드+의도 포함, 충돌 없음"
139,2026-08-07-safety-auto-22735c,https://honsamnote.co.kr/blog/2026-08-07-safety-auto-22735c/,"혼자 사는 당신, 한밤중 반려동물 응급 상황 발생 시? 24시 동물병원 vs. 방문 진료 앱, 어떤 선택이 더 빠르고 안전할까?",반려동물 응급 비교｜24시 동물병원,반려동물 응급,비교형,emergency-response,no,8.5,C,LOW,HOLD(C),role-split candidate — 제목에 서로 다른 검색의도/주제가 섞여 있어 보임(자동 분리하지 않음)
140,2026-08-07-storage-auto-6dca4b,https://honsamnote.co.kr/blog/2026-08-07-storage-auto-6dca4b/,"1인 가구 직장인, 좁은 집에 쌓이는 '추억의 물건' 때문에 답답하다면? 공간 차지 없이 깔끔하게 보관하는 현실 수납법",1인 가구 수납 알아보기｜좁은 집 정리,1인 가구 수납,질문형,oneroom-storage,no,8.5,A,HIGH,APPLIED,"A등급 재판정: score 8.5, 대표 키워드+의도 포함, 충돌 없음"
141,2026-08-07-storage-auto-fcc47d,https://honsamnote.co.kr/blog/2026-08-07-storage-auto-fcc47d/,"1인 가구 직장인, 좁은 원룸 '계절 가전' 어디에 보관해야 할지 막막하다면? 깔끔하게 숨기고 효율적으로 쓰는 현실 수납법",1인 가구 수납 알아보기｜계절 가전 보관,1인 가구 수납,질문형,oneroom-storage,no,8.5,A,HIGH,APPLIED,"A등급 재판정: score 8.5, 대표 키워드+의도 포함, 충돌 없음"
142,2026-08-08-products-auto-06056d,https://honsamnote.co.kr/blog/2026-08-08-products-auto-06056d/,"혼자 사는 직장인, 매일 마시는 물, 똑똑하게 고르고 싶다면? 생수 vs 필터 정수기 vs 렌탈 정수기, 내게 맞는 최적의 선택은?",1인 가구 정수기 비교｜생수 배달,1인 가구 정수기,비교형,products-general,no,8.5,C,LOW,HOLD(C),role-split candidate — 제목에 서로 다른 검색의도/주제가 섞여 있어 보임(자동 분리하지 않음)
143,2026-08-10-cleaning-auto-6e0644,https://honsamnote.co.kr/blog/2026-08-10-cleaning-auto-6e0644/,"혼자 사는 당신, 아끼던 옷에 갑자기 얼룩이 묻었다면? 5분 만에 황금 골든타임을 잡는 응급처치와 완벽 제거 현실 가이드",옷 얼룩 알아보기｜얼룩 지우기,옷 얼룩,질문형,laundry-clothing,no,8.5,A,HIGH,APPLIED,"A등급 재판정: score 8.5, 대표 키워드+의도 포함, 충돌 없음"
144,2026-08-11-products-auto-fb26b6,https://honsamnote.co.kr/blog/2026-08-11-products-auto-fb26b6/,"혼자 사는 직장인, 온라인으로 산 조립 가구 앞에서 막막하다면? 셀프 조립 vs. 전문가 서비스, 내게 딱 맞는 선택은?",1인 가구 가구 조립 비교｜셀프 조립 가구,1인 가구 가구 조립,비교형,products-general,no,8.5,C,LOW,HOLD(C),role-split candidate — 제목에 서로 다른 검색의도/주제가 섞여 있어 보임(자동 분리하지 않음)
145,2026-08-13-lifestyle-auto-8d6b5e,https://honsamnote.co.kr/blog/2026-08-13-lifestyle-auto-8d6b5e/,"혼자 사는 직장인, 절친과의 합가 고민된다면? '관계 유지' vs. '생활 최적화', 나에게 맞는 선택 기준",친구와 살기 비교｜합가 고민,친구와 살기,비교형,daily-rhythm,no,8.5,A,HIGH,APPLIED,"A등급 재판정: score 8.5, 대표 키워드+의도 포함, 충돌 없음"
146,2026-08-14-products-auto-6493cd,https://honsamnote.co.kr/blog/2026-08-14-products-auto-6493cd/,"혼자 사는 직장인, 좁은 집에 쌓여가는 짐 때문에 한숨 쉰다면? 공유 창고 vs 집 안 공간 최적화, 내게 맞는 최적의 선택은?",1인 가구 짐 보관 비교｜좁은 집 수납,1인 가구 짐 보관,비교형,products-general,no,8.5,C,LOW,HOLD(C),role-split candidate — 제목에 서로 다른 검색의도/주제가 섞여 있어 보임(자동 분리하지 않음)
147,2026-07-30-cleaning-31,https://honsamnote.co.kr/blog/2026-07-30-cleaning-31/,"혼자 사는 직장인, 요리 후 쌓이는 주방 기름때 찌든 때 되기 전에 싹 지우는 현실적인 루틴",혼자 사는 집 청소 해결 방법｜주방 기름때 제거,혼자 사는 집 청소,문제해결형,kitchen-cleaning,yes,8.4,A,HIGH,APPLIED,"A등급 재판정: score 8.4, 대표 키워드+의도 포함, 충돌 없음"
148,2026-07-30-products-52,https://honsamnote.co.kr/blog/2026-07-30-products-52/,"퇴근 후 지친 당신, 로봇청소기 정말 필요할까? 1인 가구에 딱 맞는 선택 기준",로봇청소기 추천 기준｜로봇청소기 선택,로봇청소기 추천,판단형,cleaning-appliances,no,8.4,A,HIGH,APPLIED,"A등급 재판정: score 8.4, 대표 키워드+의도 포함, 충돌 없음"
149,2026-07-31-products-75,https://honsamnote.co.kr/blog/2026-07-31-products-75/,"퇴근 후 널 공간도, 마를 시간도 없는 1인 가구, 미니 건조기 정말 필요할까요?",미니 건조기 필요성 알아보기｜원룸 빨래 건조,미니 건조기 필요성,질문형,products-general,no,8.4,A,HIGH,APPLIED,"A등급 재판정: score 8.4, 대표 키워드+의도 포함, 충돌 없음"
150,2026-07-31-products-77,https://honsamnote.co.kr/blog/2026-07-31-products-77/,퇴근 후 로봇청소기만 돌렸는데도 먼지가 쌓인다고요? 혼자 사는 당신의 바닥 청소가 실패하는 진짜 이유,1인가구 로봇청소기 알아보기｜로봇청소기 먼지,1인가구 로봇청소기,질문형,cleaning-appliances,no,8.4,A,HIGH,APPLIED,"A등급 재판정: score 8.4, 대표 키워드+의도 포함, 충돌 없음"
151,2026-08-03-cleaning-auto-fd154a,https://honsamnote.co.kr/blog/2026-08-03-cleaning-auto-fd154a/,"혼자 사는 당신, 퇴근 후 전자레인지 속 찌든 때? 냄새와 얼룩, 10분 만에 새것처럼 되돌리는 초간단 청소법",전자레인지 냄새 제거 알아보기｜전자레인지 찌든 때,전자레인지 냄새 제거,질문형,kitchen-cleaning,no,8.4,A,HIGH,APPLIED,"A등급 재판정: score 8.4, 대표 키워드+의도 포함, 충돌 없음"
152,2026-08-03-products-auto-1b3cc6,https://honsamnote.co.kr/blog/2026-08-03-products-auto-1b3cc6/,"퇴근 후 내 방만 시원하게! 1인 가구 이동식 에어컨 VS 서큘레이터, 뭐가 맞을까?",1인 가구 냉방 알아보기｜이동식 에어컨 장단점,1인 가구 냉방,질문형,products-general,no,8.4,A,HIGH,APPLIED,"A등급 재판정: score 8.4, 대표 키워드+의도 포함, 충돌 없음"
153,2026-08-04-lifestyle-auto-fd9e87,https://honsamnote.co.kr/blog/2026-08-04-lifestyle-auto-fd9e87/,"혼자 사는 직장인, 친구와의 약속, 늘 밖에서만? 집에서 초대 vs. 밖에서 만남, 나에게 맞는 관계 최적화",혼자 사는 직장인 친구 만남 비교｜집에서 친구 초대,혼자 사는 직장인 친구 만남,비교형,relationship-management,no,8.4,A,HIGH,APPLIED,"A등급 재판정: score 8.3, 대표 키워드+의도 포함, 충돌 없음"
154,2026-08-04-products-auto-e91dfc,https://honsamnote.co.kr/blog/2026-08-04-products-auto-e91dfc/,"혼자 사는 직장인, 새 가구 조립/분해 엄두가 안 난다면? 1인 가구 맞춤 가구 조립·분해 서비스, '이 3가지'로 현명하게 고르세요",가구 설치 알아보기｜조립 서비스,가구 설치,질문형,products-general,no,8.4,A,HIGH,APPLIED,"A등급 재판정: score 8.4, 대표 키워드+의도 포함, 충돌 없음"
155,2026-08-06-cleaning-auto-ec8541,https://honsamnote.co.kr/blog/2026-08-06-cleaning-auto-ec8541/,"혼자 사는 당신, 주방 후드에서 끈적한 기름때 뚝뚝? 퇴근 후 30분, 새것처럼 되돌리는 초간단 청소법",주방 후드 청소 알아보기｜레인지 후드 청소,주방 후드 청소,질문형,kitchen-cleaning,no,8.4,A,HIGH,APPLIED,"A등급 재판정: score 8.4, 대표 키워드+의도 포함, 충돌 없음"
156,2026-08-06-products-auto-b3c106,https://honsamnote.co.kr/blog/2026-08-06-products-auto-b3c106/,"혼자 사는 직장인, 퇴근 후 현관문 앞에서 허둥지둥? 1인 가구 스마트 도어록, 똑똑하게 선택하고 설치하는 법",1인 가구 도어록 방법｜스마트 도어록 설치,1인 가구 도어록,방법형,products-general,no,8.4,A,HIGH,APPLIED,"A등급 재판정: score 8.4, 대표 키워드+의도 포함, 충돌 없음"
157,2026-08-06-products-auto-b9fc71,https://honsamnote.co.kr/blog/2026-08-06-products-auto-b9fc71/,"혼자 사는 직장인, 비싼 카페 커피 졸업하고 싶다면? 캡슐 커피 머신 vs 핸드드립, 나에게 딱 맞는 선택은?",1인 가구 커피 비교｜캡슐 커피 머신,1인 가구 커피,비교형,products-general,no,8.4,C,LOW,HOLD(C),role-split candidate — 제목에 서로 다른 검색의도/주제가 섞여 있어 보임(자동 분리하지 않음)
158,2026-08-06-storage-auto-ee77b8,https://honsamnote.co.kr/blog/2026-08-06-storage-auto-ee77b8/,"1인 가구 직장인, '언젠가 쓸모 있겠지' 빈 박스에 쌓여 답답하다면? 후회 없이 버리고 똑똑하게 보관하는 현실 수납법",좁은 집 알아보기｜빈 박스,좁은 집,질문형,oneroom-storage,no,8.4,A,HIGH,APPLIED,"A등급 재판정: score 8.4, 대표 키워드+의도 포함, 충돌 없음"
159,2026-08-07-products-auto-d33666,https://honsamnote.co.kr/blog/2026-08-07-products-auto-d33666/,"혼자 사는 직장인, 좁은 욕실 물때·곰팡이 관리가 어렵다면? 1인 가구 맞춤 욕실 청소, 셀프 vs 전문가 관리 현명하게 고르는 법",1인 가구 욕실 청소 비교｜좁은 욕실 관리,1인 가구 욕실 청소,비교형,products-general,no,8.4,A,HIGH,APPLIED,"A등급 재판정: score 8.4, 대표 키워드+의도 포함, 충돌 없음"
160,2026-08-07-safety-auto-a9b07e,https://honsamnote.co.kr/blog/2026-08-07-safety-auto-a9b07e/,"혼자 사는 당신, 우리 집 말고 다른 곳에서 건물 전체 화재 경보기가 울릴 때: 당황하지 않고 안전하게 상황을 판단하고 대피하는 현실적인 방법",건물화재경보기 기준｜화재경보,건물화재경보기,판단형,fire-prevention,no,8.4,A,HIGH,APPLIED,"A등급 재판정: score 8.4, 대표 키워드+의도 포함, 충돌 없음"
161,2026-08-09-products-auto-7bf3a6,https://honsamnote.co.kr/blog/2026-08-09-products-auto-7bf3a6/,"혼자 사는 직장인, 좁은 집에서도 나만의 영화관을 만들고 싶다면? 미니 빔 프로젝터 vs 스마트 TV, 내게 맞는 최적의 선택은?",1인 가구 엔터테인먼트 비교｜미니 빔 프로젝터,1인 가구 엔터테인먼트,비교형,products-general,no,8.4,C,LOW,HOLD(C),role-split candidate — 제목에 서로 다른 검색의도/주제가 섞여 있어 보임(자동 분리하지 않음)
162,2026-08-11-lifestyle-auto-0f05f0,https://honsamnote.co.kr/blog/2026-08-11-lifestyle-auto-0f05f0/,"혼자 사는 직장인, 친구들 라이프스타일 달라져 '관계 정체기'를 겪는다면? 나만의 다층적 사회생활 구축으로 활력 찾는 법",혼자 사는 직장인 친구 관계 알아보기｜사회적 고립감 해소,혼자 사는 직장인 친구 관계,질문형,loneliness-isolation,no,8.4,A,HIGH,APPLIED,"A등급 재판정: score 8.4, 대표 키워드+의도 포함, 충돌 없음"
163,2026-08-11-products-auto-3a0a24,https://honsamnote.co.kr/blog/2026-08-11-products-auto-3a0a24/,"혼자 사는 직장인, 좁은 집에서 부피 큰 이불 빨래가 막막하다면? 코인 세탁소 vs 전문 업체, 내게 맞는 최적의 선택은?",1인 가구 이불 빨래 비교｜부피 큰 이불 세탁,1인 가구 이불 빨래,비교형,products-general,no,8.4,C,LOW,HOLD(C),role-split candidate — 제목에 서로 다른 검색의도/주제가 섞여 있어 보임(자동 분리하지 않음)
164,2026-08-12-products-auto-74d817,https://honsamnote.co.kr/blog/2026-08-12-products-auto-74d817/,"혼자 사는 직장인, 냉난방비 아끼고 쾌적한 실내 공기? 서큘레이터 vs. 선풍기, 나에게 딱 맞는 선택은?",1인 가구 냉난방 비교｜서큘레이터,1인 가구 냉난방,비교형,products-general,no,8.4,C,LOW,HOLD(C),role-split candidate — 제목에 서로 다른 검색의도/주제가 섞여 있어 보임(자동 분리하지 않음)
165,2026-08-13-products-auto-8b83e4,https://honsamnote.co.kr/blog/2026-08-13-products-auto-8b83e4/,"혼자 사는 직장인, 퇴근 후 현관문 앞에서 열쇠 잃어버렸거나 도어락 고장났다면? 1인 가구 긴급 문 개방/수리, 현명하게 대처하는 법",도어락 수리 방법｜열쇠 개방,도어락 수리,방법형,products-general,no,8.4,A,HIGH,APPLIED,"A등급 재판정: score 8.4, 대표 키워드+의도 포함, 충돌 없음"
166,2026-08-13-products-auto-ae3976,https://honsamnote.co.kr/blog/2026-08-13-products-auto-ae3976/,"혼자 사는 직장인, 옆집 소음에 잠 못 이루거나 내 소음이 혹시 피해줄까 불안하다면? 1인 가구 맞춤 층간/벽간 소음 해결, 이 3단계로 조용하고 편안한 나만의 공간 만들기!",1인 가구 소음 알아보기｜층간 소음 해결,1인 가구 소음,질문형,products-general,no,8.4,A,HIGH,APPLIED,"A등급 재판정: score 8.4, 대표 키워드+의도 포함, 충돌 없음"
